algorithm,fit_time,score_time,MSE_cv,MAE_cv,R2_cv,MSE_val,MAE_val,R2_val,ExplainedVariance,MAPE
LinearRegression,0.012304162979125977,0.007558059692382812,-0.2774947375476852,-0.44743331753877047,0.2621411666474094,0.29009800404982167,0.4622611999944166,0.26563013292036985,0.2657757099525563,10256119985488.371
ElasticNet,0.01577610969543457,0.009148406982421874,-0.3095970018955142,-0.4717676071469392,0.17693824076996428,0.32519436468280627,0.4883288621532478,0.17678529657810638,0.17688918386103536,8441106921240.813
DecisionTree,0.030124902725219727,0.002495288848876953,-0.464601606836846,-0.548016825050631,-0.2360020315999661,0.43310689891419435,0.5148524923702951,-0.09639036238340926,-0.09524914750817737,20289432996439.312
RandomForest,1.8257673263549805,0.01981654167175293,-0.23476647625575855,-0.4042154229630784,0.3754348130784483,0.23827554612078808,0.41071225112628973,0.3968163217593258,0.39681779369598047,5559959138863.609
GradientBoosting,0.47564105987548827,0.0035486221313476562,-0.24279946448953577,-0.4166636722733811,0.3542875605716064,0.24928049417438222,0.4270643835707941,0.3689577976519066,0.36896277232734065,7023335982070.913
SVR,0.44632463455200194,0.12983779907226561,-0.28547362985886215,-0.4547398154462501,0.2410724083841727,0.2952978510398092,0.4673404952497595,0.25246695740877356,0.25290787302091455,8813271213100.354
