algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity
SVC,2.4530147552490233,0.1476128578186035,0.9166184212411072,0.9194722935367203,0.9328680585498365,0.9194722935367203,0.931629392971246,0.946624120852455,0.931629392971246,0.9327778035754515,0.9131704932539711,0.931629392971246
KNN,0.014316940307617187,0.04258241653442383,0.9885073290282259,0.9884972733916758,0.9886177012608837,0.9884972733916758,0.9929712460063898,0.9929716993274657,0.9929712460063898,0.9929690378822909,0.9906166102614283,0.9929712460063898
DecisionTree,0.02346315383911133,0.013705635070800781,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,0.8681998252868652,0.0335881233215332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AdaBoost,0.27710847854614257,0.024332189559936525,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GradientBoosting,0.9050469398498535,0.01035480499267578,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ExtraTrees-ensemble,0.7740374565124511,0.04882535934448242,0.9674563403092945,0.9674066300620279,0.9676891338683753,0.9674066300620279,0.9776357827476039,0.9777555939802732,0.9776357827476039,0.977662818198658,0.9701671325422777,0.9776357827476039
